"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"E000277" 0 0 0 0 0 0 1 0 2 1 0 14 13 3 65
"E000278" 0 0 1 0 0 0 0 0 0 0 1 8 9 3 4
"E000279" 0 0 1 0 1 0 0 0 0 0 2 4 8 3 1
"E000280" 0 0 4 0 0 0 0 2 0 0 167 307 142 8 344
"E000281" 0 0 1 0 0 0 0 1 0 0 284 536 284 23 669
"E000282" 0 0 1 0 0 1 1 1 0 0 265 846 409 33 1242
"E000283" 0 0 0 0 0 0 1 0 0 0 273 555 271 17 878
"E000284" 0 0 1 0 0 0 2 1 0 0 261 390 249 41 534
"E000285" 0 0 0 0 0 0 0 0 0 0 111 1030 612 174 2178
"E000289" 0 0 0 0 0 0 0 1 0 0 22 29 19 38 179
"E000290" 0 0 0 0 0 0 0 0 0 0 16 16 15 25 26
"E000291" 0 0 0 0 0 0 0 0 0 0 10 10 15 27 86
"E000292" 0 0 0 0 0 0 0 0 0 0 8 9 10 24 44
"E000293" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"E000294" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"E000295" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000296" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"E000297" 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0
"E000298" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"E000299" 0 0 0 0 0 0 0 0 0 0 2 7 1 2 0
"E000300" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E000301" 0 0 0 0 0 0 0 0 0 0 1 4 1 3 0
"E000302" 0 0 0 0 0 0 0 0 0 0 0 4 2 2 0
"E000303" 0 0 0 0 0 0 0 0 0 0 5 2 7 11 107
"E000304" 0 0 0 0 1 1 0 0 0 0 2 2 3 12 41
"E000305" 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2
"E000306" 0 0 0 0 0 0 0 0 0 0 4 10 15 6 42
"E000307" 0 0 1 0 0 1 1 0 0 0 7 15 21 9 112
